symbol,group,price,total_score,E,R,O,S,RS,V,rsi14,ema9_ma20_slope,dist_from_ema9_pct,obv_status,volume,vol_ma20,green_2_confirm,early_green2,early_dry_green2,warning,date,time,market_real,market_forecast,t1_return,t3_return,t5_return,t1_win,t3_win,t5_win
FMC,MUA EARLY,35100.0,3,0,0,1,1,0,1,44.08,0.16,-1.04,🟢,3300.0,16140.0,,,,RSI yếu | RSI chững | Giá dưới EMA9 | Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
FPT,MUA EARLY,73100.0,4,1,0,2,0,1,0,53.81,-0.72,1.89,🟢,6182099.0,7754485.0,,✅ EARLY GREEN2,,RSI yếu | Slope âm | Pull xấu,2026-07-03,14:12:11,6.6,1.6,,,,,,
FRT,MUA EARLY,122000.0,4,2,0,0,1,0,1,48.21,0.74,0.66,🔴,134300.0,412015.0,,,,OBV gãy | RSI yếu | Pull xấu,2026-07-03,09:49:20,7.1,1.9,,,,,,
FTS,MUA EARLY,28000.0,9,2,2,2,2,1,0,70.65,4.91,3.8,🟢,2976300.0,1769340.0,,,,Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
GEG,MUA EARLY,13700.0,3,0,0,1,1,0,1,50.75,1.8,-0.82,🟢,229900.0,372200.0,,,,RSI yếu | RSI chững | Giá dưới EMA9 | Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
GEX,MUA EARLY,30600.0,3,0,0,1,1,1,0,47.9,0.14,-0.29,🟢,10933160.0,10668028.0,,,,RSI yếu | Giá dưới EMA9 | Pull xấu,2026-07-03,14:54:07,6.7,1.7,,,,,,
GIL,MUA EARLY,11750.0,3,1,0,1,0,1,0,44.11,-0.39,0.82,🟢,32000.0,81685.0,,,,RSI yếu | Slope âm | Pull xấu,2026-07-03,13:26:41,6.4,1.0,,,,,,
GMD,MUA EARLY,76400.0,6,1,0,2,0,1,2,54.79,-1.11,1.79,🟢,1759700.0,1065060.0,,✅ EARLY GREEN2,,RSI yếu | Slope âm | Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
HCM,MUA EARLY,28550.0,6,2,1,1,1,1,0,58.21,0.95,2.26,🟢,4741300.0,4197970.0,,,,Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
HDB,CP MẠNH,26900.0,11,2,2,2,1,2,2,68.02,1.96,3.45,🟢,15765137.0,9356892.0,,,,Pull xấu,2026-07-03,14:54:07,6.7,1.7,,,,,,
HDC,MUA EARLY,15100.0,3,0,0,2,0,1,0,42.17,-1.58,-0.42,🟢,598900.0,1209365.0,,,,RSI yếu | Giá dưới EMA9 | Slope âm | Pull xấu,2026-07-03,09:49:20,7.1,1.9,,,,,,
HHV,MUA EARLY,11450.0,3,1,0,1,0,1,0,46.98,-0.23,0.41,🟢,3345400.0,2792425.0,,,,RSI yếu | RSI chững | Slope âm | Pull xấu,2026-07-03,09:49:20,7.1,1.9,,,,,,
HVN,MUA EARLY,24000.0,7,2,1,1,2,1,0,64.32,3.55,2.67,🟢,886500.0,992575.0,,,,Pull xấu,2026-07-03,13:26:41,6.4,1.0,,,,,,
IDC,MUA EARLY,41600.0,3,1,0,1,0,1,0,41.65,-1.67,0.04,🟢,455600.0,1061635.0,,,,RSI yếu | Slope âm | Pull xấu,2026-07-03,14:54:07,6.7,1.7,,,,,,
LAS,MUA EARLY,14100.0,6,1,0,2,0,1,2,38.22,-1.28,0.23,🟢,312700.0,147700.0,,,,RSI yếu | Slope âm | Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
LHG,PULL VỪA,28700.0,4,2,1,1,1,1,-2,61.68,0.78,1.08,🟢,54900.0,44095.0,,,,,2026-07-03,23:12:30,6.2,1.7,,,,,,
LPB,MUA EARLY,51200.0,4,0,0,1,1,1,1,52.23,5.65,-2.08,🟢,1864944.0,2449777.0,,,,RSI yếu | RSI chững | Giá dưới EMA9 | Pull xấu,2026-07-03,14:54:07,6.7,1.7,,,,,,
MBB,PULL VỪA,25600.0,6,2,1,1,1,1,0,59.44,1.11,1.18,🟢,13552000.0,11840370.0,,,,,2026-07-03,23:12:30,6.2,1.7,,,,,,
MBS,CP MẠNH,21500.0,10,2,2,2,1,1,2,67.06,1.9,5.13,🟢,24433300.0,5119045.0,🟢 GREEN 2,,,Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
MCH,MUA EARLY,139900.0,7,2,2,1,2,2,-2,69.73,2.27,4.66,🟢,608929.0,372526.0,,,,Pull xấu,2026-07-03,14:54:07,6.7,1.7,,,,,,
MSB,PULL VỪA,15900.0,5,2,1,1,1,0,0,63.76,2.88,0.49,🟢,8180700.0,9672670.0,,,,RSI chững,2026-07-03,14:54:07,6.7,1.7,,,,,,
MSN,MUA EARLY,72100.0,3,2,0,0,1,0,0,44.28,0.15,0.11,🔴,3050700.0,2565525.0,,,,OBV gãy | RSI yếu | Pull xấu,2026-07-03,09:49:20,7.1,1.9,,,,,,
MSR,MUA EARLY,39100.0,3,0,0,1,1,0,1,44.83,0.01,-0.72,🟢,481200.0,670530.0,,,,RSI yếu | RSI chững | Giá dưới EMA9 | Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
MWG,MUA EARLY,78900.0,3,2,0,0,1,0,0,50.59,0.79,0.21,🔴,3276600.0,4082005.0,,,,OBV gãy | RSI yếu | Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
NAB,PULL VỪA,13100.0,6,2,1,1,1,1,0,68.14,3.35,0.98,🟢,2839900.0,2079270.0,,,,RSI chững,2026-07-03,14:54:07,6.7,1.7,,,,,,
NKG,MUA EARLY,12000.0,4,0,0,2,0,1,1,43.17,-0.86,-0.01,🟢,1229000.0,1375995.0,,,,RSI yếu | Giá dưới EMA9 | Slope âm | Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
NLG,MUA EARLY,25850.0,3,0,0,0,1,1,1,46.91,0.01,-1.41,🔴,1456747.0,2147662.0,,,,OBV gãy | RSI yếu | RSI chững | Giá dưới EMA9 | Pull xấu,2026-07-03,14:54:07,6.7,1.7,,,,,,
NT2,MUA EARLY,22650.0,3,0,0,1,1,0,1,44.77,0.53,-0.82,🟢,308356.0,415363.0,,,,RSI yếu | RSI chững | Giá dưới EMA9 | Pull xấu,2026-07-03,14:12:11,6.6,1.6,,,,,,
NTP,MUA EARLY,50600.0,5,2,0,1,1,0,1,54.63,0.37,0.11,🟢,46400.0,95885.0,,,,RSI yếu | Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
OCB,MUA EARLY,11500.0,10,2,2,2,2,2,0,70.07,2.33,3.0,🟢,3373900.0,5802305.0,,,,Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
ORS,MUA EARLY,13950.0,7,2,2,2,2,1,-2,66.46,2.76,2.9,🟢,10924504.0,3764185.0,,,,Pull xấu,2026-07-03,14:10:02,6.6,1.6,,,,,,
PAN,MUA EARLY,23050.0,3,2,0,0,1,0,0,46.26,0.42,0.28,🔴,214100.0,337565.0,,,,OBV gãy | RSI yếu | Pull xấu,2026-07-03,09:49:20,7.1,1.9,,,,,,
PC1,PULL VỪA,22000.0,5,0,1,1,1,1,1,56.63,4.58,-0.14,🟢,3197492.0,4991465.0,,,,RSI chững | Giá dưới EMA9,2026-07-03,23:12:30,6.2,1.7,,,,,,
PET,PULL VỪA,53900.0,5,0,1,1,1,1,1,55.51,3.01,-0.5,🟢,428713.0,918046.0,,,,RSI chững | Giá dưới EMA9,2026-07-03,23:12:30,6.2,1.7,,,,,,
PHR,MUA EARLY,63800.0,3,1,0,1,0,1,0,48.53,-0.21,0.37,🟢,358600.0,332930.0,,,,RSI yếu | Slope âm | Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
PLC,MUA EARLY,21100.0,5,1,0,2,0,1,1,47.85,-0.2,0.75,🟢,79600.0,97715.0,,,,RSI yếu | Slope âm | Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
PNJ,MUA EARLY,63100.0,4,0,0,2,0,0,2,39.65,-1.45,-1.2,🟢,2175200.0,1014150.0,,,,RSI yếu | Giá dưới EMA9 | Slope âm | Pull xấu,2026-07-03,07:16:19,6.9,1.4,,,,,,
POW,PULL VỪA,14900.0,6,2,1,1,1,1,0,64.36,2.97,1.82,🟢,11971364.0,10799758.0,,,,,2026-07-03,23:12:30,6.2,1.7,,,,,,
PTB,MUA EARLY,37750.0,3,0,0,0,1,1,1,46.22,1.36,-0.79,🔴,26500.0,73250.0,,,,OBV gãy | RSI yếu | RSI chững | Giá dưới EMA9 | Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
PVB,MUA EARLY,24600.0,3,0,0,1,0,1,1,40.46,-1.19,-0.12,🟢,13700.0,51825.0,,,,RSI yếu | Giá dưới EMA9 | Slope âm | Pull xấu,2026-07-03,14:54:07,6.7,1.7,,,,,,
PVD,PULL VỪA,32549.0,7,2,1,1,2,1,0,56.2,3.34,0.76,🟢,2372079.0,2653299.0,,,,RSI chững,2026-07-03,23:12:30,6.2,1.7,,,,,,
PVS,MUA EARLY,38100.0,3,0,0,0,1,1,1,47.34,0.1,-0.66,🔴,1436200.0,2067375.0,,,,OBV gãy | RSI yếu | RSI chững | Giá dưới EMA9 | Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
PVT,MUA EARLY,19800.0,3,0,0,1,1,1,0,46.76,0.34,-0.84,🟢,2752500.0,2533075.0,,,,RSI yếu | RSI chững | Giá dưới EMA9 | Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
SAB,MUA EARLY,48300.0,3,2,0,0,1,0,0,52.97,0.24,0.0,🔴,650500.0,606460.0,,,,OBV gãy | RSI yếu | Pull xấu,2026-07-03,14:12:11,6.6,1.6,,,,,,
SHB,MUA EARLY,13750.0,5,1,0,2,0,0,2,48.06,-0.49,0.44,🟢,61258300.0,47119965.0,,✅ EARLY GREEN2,,RSI yếu | Slope âm | Pull xấu,2026-07-03,09:49:20,7.1,1.9,,,,,,
SHS,CP MẠNH,19300.0,9,2,1,2,1,1,2,63.56,0.69,3.02,🟢,25616500.0,13170130.0,,,,Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
SSB,MUA EARLY,16500.0,8,2,2,1,2,1,0,87.7,5.04,3.05,🟢,2092000.0,2404035.0,,,,Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
SSI,MUA EARLY,27350.0,8,2,0,2,1,1,2,54.02,0.43,1.33,🟢,20102700.0,13637155.0,,,,RSI yếu | Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
STB,MUA EARLY,72000.0,3,0,0,1,1,0,1,51.85,0.93,-0.89,🟢,2644200.0,4884090.0,,,,RSI yếu | RSI chững | Giá dưới EMA9 | Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
TCB,MUA EARLY,33600.0,4,2,1,0,2,1,-2,60.38,3.55,0.91,🔴,15380400.0,12237385.0,,,,OBV gãy | RSI chững | Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
TCM,MUA EARLY,20200.0,5,1,0,2,0,0,2,33.65,-0.38,0.18,🟢,1210000.0,847640.0,,,,RSI yếu | Slope âm | Pull xấu,2026-07-03,14:54:07,6.7,1.7,,,,,,
TCX,PULL VỪA,45000.0,6,2,1,1,1,1,0,64.84,4.48,1.44,🟢,1783100.0,1926250.0,,,,,2026-07-03,23:12:30,6.2,1.7,,,,,,
TNG,MUA EARLY,19600.0,3,0,0,1,1,0,1,50.86,1.5,-0.36,🟢,409500.0,541035.0,,,,RSI yếu | RSI chững | Giá dưới EMA9 | Pull xấu,2026-07-03,14:54:07,6.7,1.7,,,,,,
TPB,PULL VỪA,16550.0,7,2,1,2,1,1,0,58.66,1.04,0.81,🟢,7418900.0,13886140.0,,,,RSI chững,2026-07-03,23:12:30,6.2,1.7,,,,,,
TVN,MUA EARLY,11400.0,3,0,0,1,1,0,1,53.87,1.67,-0.99,🟢,557000.0,829995.0,,,,RSI yếu | RSI chững | Giá dưới EMA9 | Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
TVS,PULL VỪA,14750.0,7,2,1,2,1,1,0,64.31,5.3,1.55,🟢,337200.0,297450.0,,,,RSI chững,2026-07-03,23:12:30,6.2,1.7,,,,,,
VCB,MUA EARLY,62000.0,5,2,0,1,1,0,1,51.65,0.44,0.07,🟢,2601900.0,3958530.0,,,,RSI yếu | RSI chững | Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
VCG,PULL VỪA,20700.0,5,2,1,1,2,1,-2,55.08,2.48,0.88,🟢,4447800.0,3366435.0,,,,RSI chững,2026-07-03,23:12:30,6.2,1.7,,,,,,
VCI,PULL VỪA,25100.0,9,2,1,2,1,1,2,57.18,1.43,1.91,🟢,10503400.0,6200235.0,,,,,2026-07-03,23:12:30,6.2,1.7,,,,,,
VCK,CP MẠNH,34200.0,9,2,1,2,1,1,2,58.08,0.03,2.06,🟢,7960362.0,4296723.0,,,,Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
VCS,MUA EARLY,36100.0,3,0,0,1,0,1,1,46.13,-0.24,-0.08,🟢,7600.0,45480.0,,,,RSI yếu | Giá dưới EMA9 | Slope âm | Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
VDS,CP MẠNH,14900.0,9,2,1,2,1,1,2,62.58,1.09,4.5,🟢,1824800.0,843415.0,🟢 GREEN 2,,,Pull xấu,2026-07-03,07:16:19,6.9,1.4,,,,,,
VGC,MUA EARLY,43450.0,5,2,0,0,1,1,1,52.32,1.24,0.18,🔴,265000.0,356170.0,,,,OBV gãy | RSI yếu | RSI chững | Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
VGI,MUA EARLY,89300.0,3,1,0,0,0,1,1,47.01,-1.0,0.52,🔴,189700.0,285130.0,,,,OBV gãy | RSI yếu | Slope âm | Pull xấu,2026-07-03,14:54:07,6.7,1.7,,,,,,
VGT,MUA EARLY,11600.0,4,2,0,1,1,0,0,52.91,1.25,0.45,🟢,287000.0,373600.0,,,,RSI yếu | Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
VHC,MUA EARLY,59300.0,3,0,0,0,1,1,1,51.89,1.69,-0.3,🔴,182100.0,252090.0,,,,OBV gãy | RSI yếu | RSI chững | Giá dưới EMA9 | Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
VHM,PULL VỪA,151700.0,8,2,1,2,2,1,0,56.59,3.89,1.53,🟢,3854970.0,4846558.0,,,,,2026-07-03,14:54:07,6.7,1.7,,,,,,
VIB,PULL VỪA,16450.0,4,2,1,1,1,1,-2,55.86,1.29,0.31,🟢,14213400.0,9170715.0,,,,RSI chững,2026-07-03,23:12:30,6.2,1.7,,,,,,
VIC,PULL VỪA,220300.0,6,2,1,1,1,1,0,57.03,4.39,0.67,🟢,2093977.0,3261744.0,,,,RSI chững,2026-07-03,23:12:30,6.2,1.7,,,,,,
VIX,MUA EARLY,17050.0,6,1,0,2,0,1,2,45.43,-0.81,0.13,🟢,36473604.0,29762465.0,,,,RSI yếu | Slope âm | Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
VJC,PULL VỪA,141800.0,9,2,1,2,1,1,2,57.75,0.33,1.61,🟢,1293933.0,978737.0,,,,,2026-07-03,23:12:30,6.2,1.7,,,,,,
VND,CP MẠNH,18400.0,9,2,1,2,1,1,2,62.84,1.27,2.8,🟢,30793400.0,16146650.0,,,,Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
VOS,MUA EARLY,12250.0,3,0,0,1,1,0,1,47.91,0.59,-0.32,🟢,327924.0,430466.0,,,,RSI yếu | Giá dưới EMA9 | Pull xấu,2026-07-03,14:54:07,6.7,1.7,,,,,,
VPB,MUA EARLY,27800.0,8,2,2,2,2,2,-2,66.34,2.2,2.74,🟢,20553602.0,12768975.0,,,,Pull xấu,2026-07-03,14:54:07,6.7,1.7,,,,,,
VPX,PULL VỪA,28500.0,5,2,1,1,2,1,-2,59.84,3.12,0.92,🟢,1624500.0,1345105.0,,,,RSI chững,2026-07-03,23:12:30,6.2,1.7,,,,,,
VTO,MUA EARLY,10600.0,3,1,0,2,0,0,0,42.98,-0.8,0.28,🟢,178691.0,148080.0,,,,RSI yếu | Slope âm | Pull xấu,2026-07-03,23:12:30,6.2,1.7,,,,,,
VTP,MUA EARLY,64000.0,3,1,0,1,0,1,0,45.85,-0.4,0.0,🟢,238500.0,249440.0,,,,RSI yếu | Slope âm | Pull xấu,2026-07-03,14:54:07,6.7,1.7,,,,,,
YEG,MUA EARLY,9220.0,4,0,0,1,2,1,0,52.63,3.38,-0.3,🟢,926075.0,970299.0,,,,RSI yếu | RSI chững | Giá dưới EMA9 | Pull xấu,2026-07-03,14:54:07,6.7,1.7,,,,,,
AAA,PULL ĐẸP,7400.0,6,2,1,2,1,0,0,62.05,0.99,0.54,🟢,714000.0,1011445.0,,,,,2026-07-04,23:06:29,6.2,1.7,,,,,,
ACB,PULL VỪA,22650.0,6,2,1,1,1,1,0,58.94,0.36,0.29,🟢,10682700.0,19263265.0,,,,,2026-07-04,23:06:29,6.2,1.7,,,,,,
BAF,PULL ĐẸP,30000.0,8,2,2,2,1,1,0,65.32,0.94,0.77,🟢,513400.0,1757560.0,🟢 GREEN 2,,,,2026-07-04,23:06:29,6.2,1.7,,,,,,
BSI,MUA EARLY,36500.0,7,2,2,1,2,2,-2,69.8,5.3,2.94,🟢,1081500.0,670645.0,,,,Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
CII,MUA EARLY,17200.0,3,0,0,1,1,0,1,45.95,0.04,-0.98,🟢,8228900.0,11230405.0,,,,RSI yếu | RSI chững | Giá dưới EMA9 | Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
CTG,MUA EARLY,34150.0,5,2,0,1,1,1,0,50.71,0.71,0.36,🟢,7209500.0,6322505.0,,,,RSI yếu | Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
DGW,MUA EARLY,40250.0,7,2,0,2,1,1,1,49.3,0.25,0.45,🟢,611700.0,718395.0,,,,RSI yếu | Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
DTD,MUA EARLY,13700.0,6,2,1,1,1,1,0,62.53,1.65,2.23,🟢,97800.0,86025.0,,,,Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
ELC,MUA EARLY,17150.0,6,2,1,0,2,1,0,62.15,2.76,1.53,🔴,773920.0,386421.0,,,,OBV gãy | RSI chững | Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
FMC,MUA EARLY,35100.0,3,0,0,1,1,0,1,44.08,0.16,-1.04,🟢,3300.0,16140.0,,,,RSI yếu | RSI chững | Giá dưới EMA9 | Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
FTS,MUA EARLY,28000.0,9,2,2,2,2,1,0,70.65,4.91,3.8,🟢,2976300.0,1769340.0,,,,Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
GEG,MUA EARLY,13700.0,3,0,0,1,1,0,1,50.75,1.8,-0.82,🟢,229900.0,372200.0,,,,RSI yếu | RSI chững | Giá dưới EMA9 | Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
GMD,MUA EARLY,76400.0,6,1,0,2,0,1,2,54.79,-1.11,1.79,🟢,1759700.0,1065060.0,,✅ EARLY GREEN2,,RSI yếu | Slope âm | Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
HCM,MUA EARLY,28550.0,6,2,1,1,1,1,0,58.21,0.95,2.26,🟢,4741300.0,4197970.0,,,,Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
LAS,MUA EARLY,14100.0,6,1,0,2,0,1,2,38.22,-1.28,0.23,🟢,312700.0,147700.0,,,,RSI yếu | Slope âm | Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
LHG,PULL VỪA,28700.0,4,2,1,1,1,1,-2,61.68,0.78,1.08,🟢,54900.0,44095.0,,,,,2026-07-04,23:06:29,6.2,1.7,,,,,,
MBB,PULL VỪA,25600.0,6,2,1,1,1,1,0,59.44,1.11,1.18,🟢,13552000.0,11840370.0,,,,,2026-07-04,23:06:29,6.2,1.7,,,,,,
MBS,CP MẠNH,21500.0,10,2,2,2,1,1,2,67.06,1.9,5.13,🟢,24433300.0,5119045.0,🟢 GREEN 2,,,Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
MSR,MUA EARLY,39100.0,3,0,0,1,1,0,1,44.83,0.01,-0.72,🟢,481200.0,670530.0,,,,RSI yếu | RSI chững | Giá dưới EMA9 | Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
MWG,MUA EARLY,78900.0,3,2,0,0,1,0,0,50.59,0.79,0.21,🔴,3276600.0,4082005.0,,,,OBV gãy | RSI yếu | Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
NKG,MUA EARLY,12000.0,4,0,0,2,0,1,1,43.17,-0.86,-0.01,🟢,1229000.0,1375995.0,,,,RSI yếu | Giá dưới EMA9 | Slope âm | Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
NTP,MUA EARLY,50600.0,5,2,0,1,1,0,1,54.63,0.37,0.11,🟢,46400.0,95885.0,,,,RSI yếu | Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
OCB,MUA EARLY,11500.0,10,2,2,2,2,2,0,70.07,2.33,3.0,🟢,3373900.0,5802305.0,,,,Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
PC1,PULL VỪA,22000.0,5,0,1,1,1,1,1,56.63,4.58,-0.14,🟢,3197492.0,4991465.0,,,,RSI chững | Giá dưới EMA9,2026-07-04,23:06:29,6.2,1.7,,,,,,
PET,PULL VỪA,53900.0,5,0,1,1,1,1,1,55.51,3.01,-0.5,🟢,428713.0,918046.0,,,,RSI chững | Giá dưới EMA9,2026-07-04,23:06:29,6.2,1.7,,,,,,
PHR,MUA EARLY,63800.0,3,1,0,1,0,1,0,48.53,-0.21,0.37,🟢,358600.0,332930.0,,,,RSI yếu | Slope âm | Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
PLC,MUA EARLY,21100.0,5,1,0,2,0,1,1,47.85,-0.2,0.75,🟢,79600.0,97715.0,,,,RSI yếu | Slope âm | Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
POW,PULL VỪA,14900.0,6,2,1,1,1,1,0,64.36,2.97,1.82,🟢,11971364.0,10799758.0,,,,,2026-07-04,23:06:29,6.2,1.7,,,,,,
PTB,MUA EARLY,37750.0,3,0,0,0,1,1,1,46.22,1.36,-0.79,🔴,26500.0,73250.0,,,,OBV gãy | RSI yếu | RSI chững | Giá dưới EMA9 | Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
PVD,PULL VỪA,32549.0,7,2,1,1,2,1,0,56.2,3.34,0.76,🟢,2372079.0,2653299.0,,,,RSI chững,2026-07-04,23:06:29,6.2,1.7,,,,,,
PVS,MUA EARLY,38100.0,3,0,0,0,1,1,1,47.34,0.1,-0.66,🔴,1436200.0,2067375.0,,,,OBV gãy | RSI yếu | RSI chững | Giá dưới EMA9 | Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
PVT,MUA EARLY,19800.0,3,0,0,1,1,1,0,46.76,0.34,-0.84,🟢,2752500.0,2533075.0,,,,RSI yếu | RSI chững | Giá dưới EMA9 | Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
SHS,CP MẠNH,19300.0,9,2,1,2,1,1,2,63.56,0.69,3.02,🟢,25616500.0,13170130.0,,,,Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
SSB,MUA EARLY,16500.0,8,2,2,1,2,1,0,87.7,5.04,3.05,🟢,2092000.0,2404035.0,,,,Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
SSI,MUA EARLY,27350.0,8,2,0,2,1,1,2,54.02,0.43,1.33,🟢,20102700.0,13637155.0,,,,RSI yếu | Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
STB,MUA EARLY,72000.0,3,0,0,1,1,0,1,51.85,0.93,-0.89,🟢,2644200.0,4884090.0,,,,RSI yếu | RSI chững | Giá dưới EMA9 | Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
TCB,MUA EARLY,33600.0,4,2,1,0,2,1,-2,60.38,3.55,0.91,🔴,15380400.0,12237385.0,,,,OBV gãy | RSI chững | Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
TCX,PULL VỪA,45000.0,6,2,1,1,1,1,0,64.84,4.48,1.44,🟢,1783100.0,1926250.0,,,,,2026-07-04,23:06:29,6.2,1.7,,,,,,
TPB,PULL VỪA,16550.0,7,2,1,2,1,1,0,58.66,1.04,0.81,🟢,7418900.0,13886140.0,,,,RSI chững,2026-07-04,23:06:29,6.2,1.7,,,,,,
TVN,MUA EARLY,11400.0,3,0,0,1,1,0,1,53.87,1.67,-0.99,🟢,557000.0,829995.0,,,,RSI yếu | RSI chững | Giá dưới EMA9 | Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
TVS,PULL VỪA,14750.0,7,2,1,2,1,1,0,64.31,5.3,1.55,🟢,337200.0,297450.0,,,,RSI chững,2026-07-04,23:06:29,6.2,1.7,,,,,,
VCB,MUA EARLY,62000.0,5,2,0,1,1,0,1,51.65,0.44,0.07,🟢,2601900.0,3958530.0,,,,RSI yếu | RSI chững | Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
VCG,PULL VỪA,20700.0,5,2,1,1,2,1,-2,55.08,2.48,0.88,🟢,4447800.0,3366435.0,,,,RSI chững,2026-07-04,23:06:29,6.2,1.7,,,,,,
VCI,PULL VỪA,25100.0,9,2,1,2,1,1,2,57.18,1.43,1.91,🟢,10503400.0,6200235.0,,,,,2026-07-04,23:06:29,6.2,1.7,,,,,,
VCK,CP MẠNH,34200.0,9,2,1,2,1,1,2,58.08,0.03,2.06,🟢,7960362.0,4296723.0,,,,Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
VCS,MUA EARLY,36100.0,3,0,0,1,0,1,1,46.13,-0.24,-0.08,🟢,7600.0,45480.0,,,,RSI yếu | Giá dưới EMA9 | Slope âm | Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
VGC,MUA EARLY,43450.0,5,2,0,0,1,1,1,52.32,1.24,0.18,🔴,265000.0,356170.0,,,,OBV gãy | RSI yếu | RSI chững | Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
VGT,MUA EARLY,11600.0,4,2,0,1,1,0,0,52.91,1.25,0.45,🟢,287000.0,373600.0,,,,RSI yếu | Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
VHC,MUA EARLY,59300.0,3,0,0,0,1,1,1,51.89,1.69,-0.3,🔴,182100.0,252090.0,,,,OBV gãy | RSI yếu | RSI chững | Giá dưới EMA9 | Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
VIB,PULL VỪA,16450.0,4,2,1,1,1,1,-2,55.86,1.29,0.31,🟢,14213400.0,9170715.0,,,,RSI chững,2026-07-04,23:06:29,6.2,1.7,,,,,,
VIC,PULL VỪA,220300.0,6,2,1,1,1,1,0,57.03,4.39,0.67,🟢,2093977.0,3261744.0,,,,RSI chững,2026-07-04,23:06:29,6.2,1.7,,,,,,
VIX,MUA EARLY,17050.0,6,1,0,2,0,1,2,45.43,-0.81,0.13,🟢,36473604.0,29762465.0,,,,RSI yếu | Slope âm | Pull xấu,2026-07-04,23:06:29,6.2,1.7,,,,,,
